date,water_level,radar_rain,water_surface_velocity,water_level_color,nombre,three_hours_image_path,slug,hour
2019-05-27 11:35:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,11:35
2019-05-27 11:40:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,11:40
2019-05-27 11:45:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,11:45
2019-05-27 11:50:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,11:50
2019-05-27 11:55:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,11:55
2019-05-27 12:00:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,12:00
2019-05-27 12:05:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,12:05
2019-05-27 12:10:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,12:10
2019-05-27 12:15:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,12:15
2019-05-27 12:20:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,12:20
2019-05-27 12:25:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,12:25
2019-05-27 12:30:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,12:30
2019-05-27 12:35:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,12:35
2019-05-27 12:40:00,,,,#D8E0E8,Santa Elena - Cascada,http://siata.gov.co/mario/realTime/tres_horas/329-CascadaSantaElena.png,329-CascadaSantaElena,12:40
